source,target,value
Miles Plumlee,Orlando Johnson,1
D.J. White,Jared Sullinger,1
Jannero Pargo,Johan Petro,1
Austin Daye,Tony Wroten,1
Jeff Green,Rajon Rondo,2
Amar'e Stoudemire,Jerome Jordan,1
Cartier Martin,Earl Barron,1
Andre Iguodala,Elton Brand,1
Jeff Withey,Luke Babbitt,1
J.J. Hickson,Jonny Flynn,1
Derrick Favors,Malcolm Thomas,1
Jeff Adrien,Tony Mitchell,1
Julyan Stone,Kenneth Faried,2
Goran Dragic,Miles Plumlee,1
Kosta Koufos,Wilson Chandler,2
Jason Maxiell,Rodney Stuckey,2
Ben Hansbrough,Lance Stephenson,1
DeMarcus Cousins,Luc Mbah a Moute,1
Derek Fisher,Kevin Durant,3
Chris Singleton,Trevor Booker,3
Greg Smith,Marcus Morris,2
Mike Miller,Seth Curry,1
Andray Blatche,C.J. Watson,1
A.J. Price,Roy Hibbert,1
Jan Vesely,Otto Porter,1
Rashard Lewis,Terrel Harris,1
Dennis Schroeder,Louis Williams,1
Marcus Thornton,Quincy Acy,1
Chris Paul,Ronny Turiaf,1
Kent Bazemore,Ognjen Kuzmic,1
Andre Miller,Jordan Hamilton,3
Cartier Martin,Mike James,1
Courtney Lee,Tony Allen,1
Arinze Onuaku,Tyler Zeller,1
Kelly Olynyk,Vander Blue,1
Boris Diaw,Derrick Brown,1
Scott Machado,Thomas Robinson,1
Alex Len,Leandro Barbosa,1
Caron Butler,Royal Ivey,1
DeAndre Jordan,Reggie Bullock,1
James Harden,Serge Ibaka,1
Jerome Jordan,Mike Bibby,1
Aaron Gray,Mickael Pietrus,1
James Johnson,Mike Conley,1
Charles Jenkins,Jeremy Tyler,2
Andray Blatche,MarShon Brooks,1
Jason Collins,Terrence Williams,1
Jason Richardson,Justin Harper,1
Andre Iguodala,Toney Douglas,1
Andre Drummond,Kentavious Caldwell-Pope,1
David West,Paul George,3
Antawn Jamison,Steve Blake,1
Ben Uzoh,Mychel Thompson,1
Jodie Meeks,MarShon Brooks,1
Anthony Parker,Daniel Gibson,1
Chase Budinger,Nikola Pekovic,2
Samuel Dalembert,Shawn Marion,1
Kevin Garnett,Terrence Williams,1
Gary Forbes,Jamaal Magloire,1
Mickell Gladness,Mike Miller,1
Bradley Beal,Emeka Okafor,1
Donatas Motiejunas,Tim Ohlbrecht,1
Jon Leuer,Keyon Dooling,1
Darius Miller,Greivis Vasquez,1
Festus Ezeli,Klay Thompson,1
Jason Smith,Josh Childress,1
Beno Udrih,Tim Hardaway,1
Justin Dentmon,Leandro Barbosa,1
Luol Deng,Tornike Shengelia,1
Darius Johnson-Odom,Earl Clark,1
Keith Bogans,Mehmet Okur,1
Ersan Ilyasova,Luc Mbah a Moute,2
Aaron Brooks,Tim Ohlbrecht,1
Drew Gooden,Monta Ellis,2
Jermaine O'Neal,Michael Beasley,1
Darius Morris,Darren Collison,1
D.J. White,Matt Carroll,1
Byron Mullens,Jamal Crawford,1
Elliot Williams,Lavoy Allen,1
Brook Lopez,Jorge Gutierrez,1
Anthony Randolph,Ricky Rubio,1
Russell Westbrook,Thabo Sefolosha,3
Josh Selby,Mike Conley,2
Dominic McGuire,Miles Plumlee,1
Brian Cook,Nene Hilario,1
Baron Davis,Jeremy Lin,1
Daniel Orton,Ronnie Brewer,1
Ben Uzoh,Omri Casspi,1
Hakim Warrick,Ramon Sessions,1
Hassan Whiteside,Tyler Honeycutt,1
Brook Lopez,Kris Joseph,1
Arron Afflalo,Doron Lamb,2
Andrea Bargnani,Shannon Brown,1
Caron Butler,Zaza Pachulia,1
Brandan Wright,Chris Wright,1
Edwin Ubiles,Nene Hilario,1
Kevin Love,Louis Amundson,1
Beno Udrih,Luc Mbah a Moute,2
Jamaal Franklin,Nick Calathes,1
Francisco Garcia,Thomas Robinson,2
Chuck Hayes,Quincy Acy,2
Darius Morris,Jerryd Bayless,1
Gal Mekel,Jae Crowder,1
Aaron Gray,Linas Kleiza,2
Chris Kaman,Gustavo Ayon,1
MarShon Brooks,Xavier Henry,1
Derek Fisher,Josh Akognon,1
Jason Kidd,Rasheed Wallace,1
Hedo Turkoglu,Jared Dudley,1
Jared Sullinger,Kevin Garnett,1
DeMar DeRozan,Sebastian Telfair,1
John Lucas,Mickael Pietrus,1
Damien Wilkins,Rodney Stuckey,1
Ersan Ilyasova,Tony Mitchell,1
Louis Amundson,Roy Hibbert,1
Charlie Villanueva,Jose Calderon,1
Greivis Vasquez,Nando De Colo,1
Lavoy Allen,Tony Wroten,1
Grant Hill,Steve Nash,1
Derek Fisher,Luke Walton,1
Anthony Randolph,Jose Barea,1
Mario Chalmers,Norris Cole,3
Darrell Arthur,Tony Allen,1
Jannero Pargo,Nene Hilario,1
A.J. Price,Dante Cunningham,1
Cory Higgins,D.J. White,1
Alan Anderson,Rasual Butler,1
Shane Battier,Terrel Harris,2
Jerryd Bayless,Jon Leuer,2
Goran Dragic,Wesley Johnson,1
DeMar DeRozan,Rudy Gay,2
Luke Babbitt,Victor Claver,1
Jonas Jerebko,Kim English,1
Byron Mullens,Reggie Bullock,1
Quentin Richardson,Steve Novak,1
Corey Brewer,Kevin Martin,1
Joakim Noah,Vladimir Radmanovic,1
Ian Clark,Mike Harris,1
Corey Brewer,Ty Lawson,2
Carmelo Anthony,Jared Jeffries,1
Malcolm Lee,Wayne Ellington,1
Arinze Onuaku,Sergey Karasev,1
James Nunnally,Pero Antic,1
Seth Curry,Tyler Zeller,1
D.J. Kennedy,Donald Sloan,1
Josh Selby,Lester Hudson,1
Chris Babb,Kris Humphries,1
Courtney Lee,Quincy Pondexter,1
Eddy Curry,LeBron James,1
Justin Hamilton,Kemba Walker,1
Andre Iguodala,Kent Bazemore,1
Dewayne Dedmon,Lorenzo Brown,1
O.J. Mayo,Troy Murphy,1
Al Harrington,Gustavo Ayon,1
DeMarcus Cousins,Jared Cunningham,1
Bernard James,Monta Ellis,1
James Singleton,Jordan Crawford,1
Marcus Camby,Steve Novak,1
Jeff Adrien,Zaza Pachulia,1
Armon Johnson,Chris Johnson,1
Charlie Villanueva,Tayshaun Prince,2
Chris Wright,Earl Barron,1
Gerald Green,Leandro Barbosa,1
Andrei Kirilenko,Reggie Evans,1
Elliot Williams,Michael Carter-Williams,1
D.J. White,Derrick Brown,1
Dwight Buycks,Tyler Hansbrough,1
Dennis Horner,Sundiata Gaines,1
JaVale McGee,John Wall,1
