Link,Game ID,Away Team,Away Long,Away Score,Home Team,Home Long,Home Score,OT Ind
http://www.basketball-reference.com/boxscores/201103080PHO.html,201103080PHO,HOU,Houston Rockets,110,PHO,Phoenix Suns,113,RG
http://www.basketball-reference.com/boxscores/201103080WAS.html,201103080WAS,MIL,Milwaukee Bucks,95,WAS,Washington Wizards,76,RG
http://www.basketball-reference.com/boxscores/201103090BOS.html,201103090BOS,LAC,Los Angeles Clippers,108,BOS,Boston Celtics,103,RG
http://www.basketball-reference.com/boxscores/201103090CHA.html,201103090CHA,CHI,Chicago Bulls,101,CHA,Charlotte Bobcats,84,RG
http://www.basketball-reference.com/boxscores/201103090MEM.html,201103090MEM,NYK,New York Knicks,110,MEM,Memphis Grizzlies,108,RG
http://www.basketball-reference.com/boxscores/201103090MIL.html,201103090MIL,CLE,Cleveland Cavaliers,90,MIL,Milwaukee Bucks,110,RG
http://www.basketball-reference.com/boxscores/201103090MIN.html,201103090MIN,IND,Indiana Pacers,75,MIN,Minnesota Timberwolves,101,RG
http://www.basketball-reference.com/boxscores/201103090NJN.html,201103090NJN,GSW,Golden State Warriors,90,NJN,New Jersey Nets,94,RG
http://www.basketball-reference.com/boxscores/201103090NOH.html,201103090NOH,DAL,Dallas Mavericks,92,NOH,New Orleans Hornets,93,RG
http://www.basketball-reference.com/boxscores/201103090PHI.html,201103090PHI,OKC,Oklahoma City Thunder,110,PHI,Philadelphia 76ers,105,OT
http://www.basketball-reference.com/boxscores/201103090SAC.html,201103090SAC,ORL,Orlando Magic,106,SAC,Sacramento Kings,102,RG
http://www.basketball-reference.com/boxscores/201103090SAS.html,201103090SAS,DET,Detroit Pistons,104,SAS,San Antonio Spurs,111,RG
http://www.basketball-reference.com/boxscores/201103090TOR.html,201103090TOR,UTA,Utah Jazz,96,TOR,Toronto Raptors,94,RG
http://www.basketball-reference.com/boxscores/201103100DAL.html,201103100DAL,NYK,New York Knicks,109,DAL,Dallas Mavericks,127,RG
http://www.basketball-reference.com/boxscores/201103100MIA.html,201103100MIA,LAL,Los Angeles Lakers,88,MIA,Miami Heat,94,RG
http://www.basketball-reference.com/boxscores/201103100PHO.html,201103100PHO,DEN,Denver Nuggets,116,PHO,Phoenix Suns,97,RG
http://www.basketball-reference.com/boxscores/201103110CHA.html,201103110CHA,POR,Portland Trail Blazers,92,CHA,Charlotte Bobcats,97,RG
http://www.basketball-reference.com/boxscores/201103110CHI.html,201103110CHI,ATL,Atlanta Hawks,76,CHI,Chicago Bulls,94,RG
http://www.basketball-reference.com/boxscores/201103110GSW.html,201103110GSW,ORL,Orlando Magic,120,GSW,Golden State Warriors,123,OT
http://www.basketball-reference.com/boxscores/201103110MIN.html,201103110MIN,UTA,Utah Jazz,101,MIN,Minnesota Timberwolves,122,RG
http://www.basketball-reference.com/boxscores/201103110NJN.html,201103110NJN,LAC,Los Angeles Clippers,98,NJN,New Jersey Nets,102,OT
http://www.basketball-reference.com/boxscores/201103110OKC.html,201103110OKC,DET,Detroit Pistons,94,OKC,Oklahoma City Thunder,104,RG
http://www.basketball-reference.com/boxscores/201103110PHI.html,201103110PHI,BOS,Boston Celtics,86,PHI,Philadelphia 76ers,89,RG
http://www.basketball-reference.com/boxscores/201103110SAS.html,201103110SAS,SAC,Sacramento Kings,103,SAS,San Antonio Spurs,108,RG
http://www.basketball-reference.com/boxscores/201103110TOR.html,201103110TOR,IND,Indiana Pacers,98,TOR,Toronto Raptors,108,RG
http://www.basketball-reference.com/boxscores/201103120ATL.html,201103120ATL,POR,Portland Trail Blazers,82,ATL,Atlanta Hawks,91,RG
http://www.basketball-reference.com/boxscores/201103120CHI.html,201103120CHI,UTA,Utah Jazz,100,CHI,Chicago Bulls,118,RG
http://www.basketball-reference.com/boxscores/201103120DAL.html,201103120DAL,LAL,Los Angeles Lakers,96,DAL,Dallas Mavericks,91,RG
http://www.basketball-reference.com/boxscores/201103120DEN.html,201103120DEN,DET,Detroit Pistons,101,DEN,Denver Nuggets,131,RG
http://www.basketball-reference.com/boxscores/201103120HOU.html,201103120HOU,SAS,San Antonio Spurs,115,HOU,Houston Rockets,107,RG
http://www.basketball-reference.com/boxscores/201103120MIA.html,201103120MIA,MEM,Memphis Grizzlies,85,MIA,Miami Heat,118,RG
