Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
45,Bismack Biyombo,C,20,CHA,80,65,27.3,2.0,4.3,.451,0.0,0.0,,2.0,4.3,.451,0.9,1.8,.521,2.4,4.9,7.3,0.4,0.4,1.8,1.0,2.4,4.8,3049920.0
46,DeJuan Blair,PF,23,SAS,61,16,14.0,2.3,4.4,.524,0.0,0.0,.000,2.3,4.4,.526,0.7,1.1,.629,1.1,2.7,3.8,0.7,0.6,0.2,0.8,1.8,5.4,947907.0
47,Steve Blake,PG,32,LAL,45,13,26.1,2.5,6.0,.422,1.6,3.8,.421,0.9,2.2,.424,0.6,0.8,.771,0.5,2.5,2.9,3.8,0.8,0.1,1.4,1.8,7.3,4000000.0
48,Andray Blatche,C,26,BRK,82,8,19.0,4.2,8.2,.512,0.0,0.3,.136,4.2,8.0,.524,1.8,2.6,.685,2.0,3.1,5.1,1.0,1.0,0.7,1.5,2.0,10.3,1375604.0
49,Eric Bledsoe,PG,23,LAC,76,12,20.4,3.3,7.5,.445,0.4,1.0,.397,2.9,6.4,.453,1.4,1.8,.791,1.0,1.9,3.0,3.1,1.4,0.7,1.8,1.5,8.5,2626474.0
50,Keith Bogans,SG,32,BRK,74,23,19.0,1.5,3.8,.380,1.1,3.3,.343,0.3,0.5,.615,0.1,0.2,.647,0.2,1.4,1.6,1.0,0.4,0.1,0.7,1.5,4.2,5058198.0
51,Andrew Bogut,C,28,GSW,32,32,24.6,2.6,5.8,.451,0.0,0.0,1.000,2.6,5.7,.448,0.6,1.2,.500,2.1,5.5,7.7,2.1,0.6,1.7,1.1,2.7,5.8,14000000.0
52,Matt Bonner,PF,32,SAS,68,4,13.4,1.6,3.4,.487,0.8,1.8,.442,0.9,1.6,.536,0.2,0.2,.733,0.4,1.5,1.9,0.5,0.3,0.3,0.2,1.3,4.2,3945000.0
53,Trevor Booker,PF,25,WAS,48,14,18.5,2.3,4.6,.491,0.0,0.1,.000,2.3,4.5,.502,0.8,1.5,.556,2.0,2.9,5.0,0.8,0.7,0.3,0.6,2.0,5.3,2350820.0
54,Carlos Boozer,PF,31,CHI,79,79,32.2,6.9,14.4,.477,0.0,0.0,.000,6.9,14.4,.478,2.4,3.3,.731,2.2,7.5,9.8,2.3,0.8,0.4,2.2,3.0,16.2,15300000.0
55,Chris Bosh,C,28,MIA,74,74,33.2,6.6,12.3,.535,0.3,1.0,.284,6.3,11.3,.557,3.3,4.1,.798,1.8,5.0,6.8,1.7,0.9,1.4,1.7,2.3,16.6,19067500.0
56,Avery Bradley,PG,22,BOS,50,50,28.7,3.8,9.6,.402,0.8,2.5,.317,3.0,7.0,.432,0.7,1.0,.755,0.6,1.6,2.2,2.1,1.3,0.4,1.4,2.6,9.2,2511432.0
57,Elton Brand,C,33,DAL,72,18,21.2,3.1,6.6,.473,0.0,0.0,.000,3.1,6.6,.474,0.9,1.3,.710,1.8,4.2,6.0,1.0,0.7,1.3,0.8,2.7,7.2,4000000.0
58,Corey Brewer,SF,26,DEN,82,2,24.4,4.6,10.8,.425,1.1,3.7,.296,3.5,7.0,.493,1.8,2.6,.690,0.7,2.2,2.9,1.5,1.4,0.3,1.2,1.9,12.1,4500000.0
59,Ronnie Brewer,SF,27,TOT,60,34,14.2,1.2,3.3,.354,0.4,1.3,.303,0.8,2.0,.385,0.3,0.7,.410,0.7,1.6,2.3,0.8,0.7,0.1,0.3,0.6,3.0,0
59,Ronnie Brewer,SF,27,NYK,46,34,15.5,1.4,3.8,.366,0.5,1.5,.310,0.9,2.3,.404,0.3,0.8,.410,0.6,1.5,2.2,0.9,0.7,0.1,0.3,0.6,3.6,0
59,Ronnie Brewer,SF,27,OKC,14,0,10.1,0.4,1.6,.261,0.1,0.4,.200,0.4,1.3,.278,0.0,0.0,,0.9,1.9,2.9,0.7,0.6,0.0,0.3,0.4,0.9,0
60,Aaron Brooks,PG,28,TOT,53,20,18.8,2.7,6.0,.453,0.9,2.5,.373,1.8,3.4,.511,0.8,1.0,.769,0.2,1.3,1.5,2.2,0.6,0.2,1.3,1.8,7.1,1701618.0
60,Aaron Brooks,PG,28,SAC,46,20,20.8,3.0,6.6,.459,1.0,2.8,.378,2.0,3.8,.517,0.9,1.1,.769,0.3,1.4,1.7,2.3,0.6,0.2,1.4,1.9,8.0,1701618.0
60,Aaron Brooks,PG,28,HOU,7,0,5.4,0.6,1.9,.308,0.3,1.0,.286,0.3,0.9,.333,0.0,0.0,,0.1,0.1,0.3,0.9,0.1,0.4,0.6,0.7,1.4,1701618.0
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0
61,MarShon Brooks,SG,24,BRK,73,2,12.5,2.1,4.6,.463,0.2,0.8,.273,1.9,3.8,.500,0.9,1.3,.734,0.4,1.0,1.4,1.0,0.5,0.2,0.9,1.3,5.4,0
62,Kwame Brown,C,30,PHI,22,11,12.2,0.8,1.7,.459,0.0,0.0,,0.8,1.7,.459,0.3,0.9,.368,1.0,2.3,3.4,0.4,0.3,0.5,0.4,1.7,1.9,2945901.0
63,Shannon Brown,SG,27,PHO,59,22,23.8,4.1,9.7,.420,0.7,2.4,.277,3.4,7.3,.467,1.7,2.1,.784,0.7,1.8,2.5,1.8,1.0,0.3,1.3,1.6,10.5,3500000.0
64,Kobe Bryant,SG,34,LAL,78,78,38.6,9.5,20.4,.463,1.7,5.2,.324,7.8,15.2,.510,6.7,8.0,.839,0.8,4.7,5.6,6.0,1.4,0.3,3.7,2.2,27.3,30453805.0
65,Chase Budinger,SF,24,MIN,23,1,22.1,3.4,8.3,.414,1.1,3.5,.321,2.3,4.8,.482,1.4,1.8,.762,0.7,2.4,3.1,1.1,0.6,0.3,1.0,1.3,9.4,5000000.0
66,Alec Burks,SG,21,UTA,64,0,17.8,2.5,6.1,.420,0.5,1.4,.359,2.0,4.6,.439,1.4,2.0,.713,0.6,1.7,2.3,1.4,0.5,0.2,1.2,1.8,7.0,2202000.0
67,Caron Butler,SF,32,LAC,78,78,24.1,3.9,9.2,.424,1.6,4.2,.388,2.3,5.0,.454,1.0,1.2,.833,0.5,2.3,2.9,1.0,0.7,0.1,0.9,1.8,10.4,8000000.0
68,Jimmy Butler,SF,23,CHI,82,20,26.0,2.9,6.2,.467,0.5,1.3,.381,2.4,5.0,.489,2.3,2.8,.803,1.7,2.3,4.0,1.4,1.0,0.4,0.8,1.2,8.6,1112880.0
69,Will Bynum,PG,30,DET,65,0,18.8,3.9,8.3,.469,0.4,1.2,.316,3.5,7.1,.494,1.6,2.0,.809,0.4,1.1,1.5,3.6,0.7,0.1,1.9,2.0,9.8,2790343.0
70,Jose Calderon,PG,31,TOT,73,58,29.6,4.3,8.7,.491,1.8,3.9,.461,2.5,4.8,.516,1.0,1.1,.900,0.3,2.1,2.4,7.1,0.8,0.1,1.7,1.4,11.3,6791570.0
70,Jose Calderon,PG,31,TOR,45,30,28.3,4.2,8.8,.470,1.8,4.1,.429,2.4,4.8,.505,1.0,1.2,.904,0.3,2.0,2.4,7.4,0.6,0.1,1.7,1.3,11.1,6791570.0
70,Jose Calderon,PG,31,DET,28,28,31.7,4.5,8.5,.527,1.8,3.5,.520,2.6,5.0,.532,0.9,1.0,.893,0.2,2.3,2.5,6.6,1.1,0.1,1.8,1.5,11.6,6791570.0
71,Marcus Camby,PF,38,NYK,24,4,10.4,0.7,2.2,.321,0.0,0.0,,0.7,2.2,.321,0.3,0.8,.421,1.0,2.3,3.3,0.6,0.3,0.6,0.6,1.2,1.8,3607347.0
72,DeMarre Carroll,SF,26,UTA,66,12,16.8,2.3,4.9,.460,0.3,1.1,.286,2.0,3.8,.508,1.1,1.5,.765,1.3,1.5,2.8,0.9,0.9,0.4,0.5,1.8,6.0,2557545.0
