Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
44,Andris Biedrins,C,25,GSW,47,739,8.8,.581,.609,.141,.000,6.9,20.0,13.5,3.0,1.6,4.7,17.1,5.1,118,105,0.6,0.7,1.3,.085
45,Chauncey Billups,SG,35,LAC,20,607,16.1,.554,.469,.417,.548,0.8,9.1,4.9,21.0,0.8,0.4,12.3,23.4,114,111,1.5,0.2,1.7,.135
46,Bismack Biyombo,C,19,CHA,63,1455,10.6,.480,.464,.514,.000,8.6,20.8,14.5,3.1,0.7,5.9,17.2,13.1,92,107,-0.5,1.1,0.6,.019
47,DeJuan Blair,PF,22,SAS,64,1363,17.6,.549,.534,.236,.002,13.2,16.3,14.8,9.2,2.2,0.6,14.2,21.7,108,102,2.2,1.8,4.0,.142
48,Steve Blake,PG,31,LAL,53,1237,8.5,.493,.476,.101,.590,0.9,6.6,3.8,21.0,1.7,0.1,20.5,13.0,98,108,0.2,0.8,1.0,.040
49,Andray Blatche,PF,25,WAS,26,626,10.6,.415,.384,.200,.029,7.5,19.6,13.5,7.3,1.7,2.1,12.2,21.7,87,105,-0.8,0.6,-0.1,-0.011
50,Eric Bledsoe,PG,22,LAC,40,464,11.2,.454,.413,.349,.238,5.6,11.1,8.3,21.6,3.6,2.5,24.4,19.1,90,102,-0.4,0.6,0.2,.022
51,Keith Bogans,SF,31,NJN,5,94,4.8,.453,.452,.238,.571,6.0,7.6,6.8,5.1,1.1,0.0,11.5,12.8,95,113,0.0,0.0,0.0,-0.005
52,Andrew Bogut,C,27,MIL,12,364,14.9,.465,.449,.169,.007,6.5,24.3,15.1,13.7,1.7,5.0,14.1,20.6,94,100,-0.1,0.6,0.5,.062
53,Matt Bonner,PF,31,SAS,65,1326,13.2,.597,.590,.060,.714,2.6,15.7,9.3,6.5,0.6,1.1,3.8,12.8,124,106,2.7,1.2,4.0,.143
54,Trevor Booker,PF,24,WAS,50,1261,15.4,.549,.532,.273,.006,10.6,18.6,14.5,5.1,2.0,2.6,13.2,15.6,109,104,1.6,1.4,3.0,.113
55,Carlos Boozer,PF,30,CHI,66,1948,19.7,.549,.532,.163,.001,6.7,25.3,16.1,11.8,1.7,0.9,11.3,23.8,108,95,3.3,4.3,7.6,.187
56,Chris Bosh,PF,27,MIA,57,2007,18.9,.551,.493,.346,.043,5.8,20.5,13.5,9.1,1.3,1.8,11.2,24.2,109,100,3.6,3.3,6.9,.165
57,Earl Boykins,PG,35,HOU,8,111,10.3,.458,.361,.417,.250,0.0,11.6,5.7,23.0,0.5,0.0,14.1,20.3,98,110,0.0,0.0,0.1,.029
58,Craig Brackins,PF,24,PHI,14,88,4.3,.325,.318,.061,.273,6.3,12.7,9.5,13.5,0.0,0.9,10.6,20.2,77,104,-0.2,0.1,-0.1,-0.065
59,Avery Bradley,PG,21,BOS,64,1368,11.3,.555,.525,.194,.134,3.1,6.7,5.0,10.8,1.7,0.7,14.7,17.9,100,102,0.6,1.9,2.4,.085
60,Elton Brand,C,32,PHI,60,1732,18.0,.521,.494,.200,.002,9.2,18.3,13.7,9.2,1.8,4.2,9.3,18.9,108,96,2.5,3.6,6.1,.168
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
61,Corey Brewer,SF,25,DEN,59,1287,13.7,.505,.470,.281,.274,4.0,9.4,6.8,10.6,2.9,1.0,9.7,20.0,104,106,1.1,1.1,2.3,.085
62,Ronnie Brewer,SG,26,CHI,66,1635,12.3,.465,.448,.225,.155,5.0,10.6,7.9,12.7,2.4,0.9,10.8,15.3,103,99,1.0,2.9,3.9,.113
63,Jon Brockman,PF,24,MIL,35,239,6.6,.359,.333,.333,.022,14.8,19.9,17.3,5.2,0.9,0.3,16.2,11.4,92,106,-0.1,0.2,0.1,.023
64,MarShon Brooks,SG,23,NJN,56,1648,12.9,.502,.465,.231,.234,4.8,9.4,7.0,14.6,1.7,0.7,14.3,22.9,98,111,0.5,0.3,0.8,.022
65,Derrick Brown,SF,24,CHA,65,1443,14.7,.556,.526,.345,.059,7.3,11.6,9.4,8.5,1.8,0.6,10.5,16.8,110,111,2.0,0.3,2.3,.076
66,Kwame Brown,C,29,GSW,9,187,11.1,.519,.525,.850,.000,9.7,24.8,17.3,3.2,2.2,0.0,20.3,17.0,94,105,-0.1,0.2,0.1,.031
67,Shannon Brown,SG,26,PHO,59,1400,13.6,.507,.477,.166,.314,3.1,9.5,6.3,8.1,1.6,0.8,9.1,22.8,101,108,0.8,0.8,1.6,.054
68,Kobe Bryant,SG,33,LAL,58,2232,21.9,.527,.462,.338,.215,3.5,11.8,7.8,23.7,1.6,0.6,11.7,35.7,105,106,4.2,2.0,6.2,.132
69,Chase Budinger,SF,23,HOU,58,1298,14.9,.556,.535,.149,.465,3.4,16.2,9.7,9.3,1.2,0.4,9.9,19.5,110,107,2.0,1.0,3.0,.111
70,Alec Burks,SG,20,UTA,59,939,14.0,.506,.450,.401,.126,6.9,9.3,8.1,9.5,1.5,0.4,10.8,22.5,105,109,1.1,0.4,1.5,.076
71,Caron Butler,SF,31,LAC,63,1871,11.7,.501,.472,.152,.365,2.8,12.0,7.3,6.8,1.5,0.4,9.3,20.4,102,108,1.2,1.1,2.3,.059
72,Jimmy Butler,SG,22,CHI,42,359,12.5,.526,.418,.709,.139,7.3,10.1,8.7,5.7,1.6,1.0,11.9,14.9,112,100,0.5,0.6,1.1,.144
73,Rasual Butler,SF,32,TOR,34,453,4.8,.398,.387,.090,.579,1.6,15.4,8.5,6.8,0.8,0.9,9.8,15.9,82,106,-0.6,0.4,-0.2,-0.022
74,Derrick Byars,PF,27,SAS,2,37,14.9,.392,.273,.364,.545,19.0,15.2,17.1,3.7,2.8,0.0,0.0,15.7,113,102,0.1,0.1,0.1,.147
75,Andrew Bynum,C,24,LAL,60,2112,22.9,.594,.558,.425,.006,10.6,26.1,18.7,7.4,0.7,4.0,13.9,23.8,112,100,4.8,3.3,8.0,.183
76,Will Bynum,PG,29,DET,36,514,10.0,.459,.399,.330,.149,2.3,11.1,6.5,22.4,2.4,0.5,19.6,24.8,88,106,-0.7,0.4,-0.2,-0.022
77,Jose Calderon,PG,30,TOR,53,1799,16.7,.547,.519,.143,.333,1.3,9.1,5.2,44.2,1.4,0.1,17.0,16.0,116,108,3.9,1.2,5.1,.136
